season,name,nationality,type,team,price
2022,Akash  Deep  ,Indian ,Bowler , Royal Challengers Bangalore,2000000
2022,Karn Sharma ,Indian ,Bowler , Royal Challengers Bangalore,5000000
2022,Mahipal Lomror ,Indian ,All Rounder , Royal Challengers Bangalore,9500000
2022,Finn Allen ,Overseas ,Batsman , Royal Challengers Bangalore,8000000
2022,Sherfane Rutherford ,Overseas ,All Rounder , Royal Challengers Bangalore,10000000
2022,Jason Behrendorff ,Overseas ,Bowler , Royal Challengers Bangalore,7500000
2022,Siddharth  Kaul ,Indian ,Bowler , Royal Challengers Bangalore,7500000
2022,Suyash Prabhudessai ,Indian ,All Rounder , Royal Challengers Bangalore,3000000
2022,Luvnith Sisodia ,Indian ,Wicket Keeper , Royal Challengers Bangalore,2000000
2022,Chama Milind ,Indian ,Bowler , Royal Challengers Bangalore,2500000
2022,Aneeshwar Gautam ,Indian ,All Rounder , Royal Challengers Bangalore,2000000
2022,David Willey  ,Overseas ,All Rounder , Royal Challengers Bangalore,20000000
2022,Washington Sundar ,Indian ,All Rounder , Sunrisers Hyderabad,87500000
2022,Nicholas Pooran ,Overseas ,Wicket Keeper , Sunrisers Hyderabad,107500000
2022,Bhuvneshwar Kumar ,Indian ,Bowler , Sunrisers Hyderabad,42000000
2022,T. Natarajan ,Indian ,Bowler , Sunrisers Hyderabad,40000000
2022,Priyam  Garg ,Indian ,Batsman , Sunrisers Hyderabad,2000000
2022,Rahul Tripathi ,Indian ,Batsman , Sunrisers Hyderabad,85000000
2022,Abhishek Sharma ,Indian ,All Rounder , Sunrisers Hyderabad,65000000
2022,Vishnu Vinod ,Indian ,Wicket Keeper , Sunrisers Hyderabad,5000000
2022,Kartik Tyagi ,Indian ,Bowler , Sunrisers Hyderabad,40000000
2022,Shreyas Gopal ,Indian ,Bowler , Sunrisers Hyderabad,7500000
2022,Jagadeesha Suchith ,Indian ,Bowler , Sunrisers Hyderabad,2000000
2022,Aiden Markram ,Overseas ,Batsman , Sunrisers Hyderabad,26000000
2022,Marco Jansen ,Overseas ,All Rounder , Sunrisers Hyderabad,42000000
2022,Romario Shepherd ,Overseas ,All Rounder , Sunrisers Hyderabad,77500000
2022,Glenn Phillips ,Overseas ,Wicket Keeper , Sunrisers Hyderabad,15000000
2022,Fazalhaq Farooqi ,Overseas ,Bowler , Sunrisers Hyderabad,5000000
2022,Sean Abbott ,Overseas ,Bowler , Sunrisers Hyderabad,24000000
2022,R Samarth ,Indian ,Batsman , Sunrisers Hyderabad,2000000
2022,Shashank Singh ,Indian ,All Rounder , Sunrisers Hyderabad,2000000
2022,Saurabh Dubey ,Indian ,Bowler , Sunrisers Hyderabad,2000000
